pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
TOI-329 b,4.94057819,40.4,0.0638,5.70439,576.8749,1213.02,0.39,5614.0,1.5326,1.0678
TOI-332 b,3.2,57.2,0.0159,0.777038,4180.32,1871.0,0.0,5251.0,0.87,0.88
TOI-3321 b,15.55806521,176.07693748,0.047,3.6525145,967.919,1616.0,0.054,5850.0,1.549,1.041
TOI-333 b,4.26,20.1,0.049,3.7852503,650.4959,1445.0,0.0,6241.0,1.1,1.2
TOI-3331 A b,12.97999965,721.47048389,0.03144,2.0180231,818.5,1488.0,0.0,5609.0,0.952,1.016
TOI-3353.01,2.6667555,7.59,0.060118218,4.6657965,313.0426,1264.36,,6365.0,1.0207,1.332089
TOI-3362 b,12.80065596,1598.3590588,0.153,18.09547,37.2117,688.0,0.815,6532.0,1.83,1.445
TOI-3364 b,12.22899794,530.77343969,0.0675,5.8768918,425.0,1264.0,0.0,5706.0,1.419,1.186
TOI-3464 b,13.7646283,397.28550875,0.0515,3.6515568,1370.0,1693.0,0.25,6370.0,1.56,1.363
TOI-3474 b,14.67255574,193.87532827,0.0502,3.8795105,740.0,1451.0,0.13,6020.0,1.256,1.121
TOI-3486 b,10.5700688,99.16246298,0.03138,2.21778105,334.0,1190.0,0.078,4930.0,0.788,0.837
TOI-3523 A b,15.9727975,435.42491759,0.03559,2.30458952,2590.0,1984.0,0.047,6450.0,1.448,1.131
TOI-3540 A b,23.53885947,375.03752026,0.04289,3.119999,841.3,1498.0,0.0,5810.0,1.228,1.081
TOI-3568 b,5.3,26.4,0.0485,4.417965,130.1481,899.0,0.035,4969.0,0.719,0.78
TOI-3593 b,11.02963701,565.73456446,0.0481,3.8212867,308.0,1170.0,0.105,5550.0,0.918,1.015
TOI-3629 b,8.29464572,82.63538582,0.043,3.936551,39.0,690.0,0.05,3870.0,0.6,0.63
TOI-3682 b,12.80065596,69.28659273,0.048,3.3462406,1258.0,1657.0,0.22,5703.0,1.735,1.32
TOI-3688 A b,13.08088048,311.47183886,0.0456,3.246075,924.3,1534.0,0.0,5950.0,1.302,1.199
TOI-3693 b,12.59889431,324.18497514,0.0813,9.088516,68.6,801.0,0.0,5321.0,0.791,0.867
TOI-3714 b,11.32107051,222.4798849,0.027,2.154849,54.0,750.0,0.03,3660.0,0.51,0.53
TOI-3757 b,12.0,85.3,0.03845,3.438753,55.4,759.0,0.14,3913.0,0.62,0.64
TOI-3785 b,5.14,14.95,0.043,4.6747373,19.1,582.0,0.11,3576.0,0.5,0.52
TOI-3807 b,18.49481816,330.54154328,0.0421,2.8989727,1230.0,1646.0,0.0,5772.0,1.468,1.181
TOI-3819 b,13.13692538,352.78953177,0.04611,3.2443141,1186.0,1633.0,0.0,5859.0,1.538,1.242
